check accents,Notes,replacement,author_id,author_name,canonical_key,extra,last_name,first_name,middle_name
,,,252,"Crowley, C W",crowley|c,NA,Crowley,C,W
,,,251,"Crowley-Ornelas, E.",crowleyornelas|e,NA,Crowley-Ornelas,E,NA
,,,1699,"Csank, Adam",NA,NA,Csank,Adam,NA
,,,1704,"Cui, Yifei",NA,NA,Cui,Yifei,NA
,,,1590,"Cumming, William B",NA,NA,Cumming,William,B
,,,254,"Curl, Douglas C.",curl|dc,NA,Curl,Douglas,C
,,,255,"Currie, D.",currie|d,NA,Currie,D,NA
,,,1649,"Cushing, Paula E.",NA,NA,Cushing,Paula,E
,,,256,"Cushway, K C",cushway|k,NA,Cushway,K,C
,,,257,"Czarnota, K.",czarnota|k,NA,Czarnota,K,NA
1,"This is an accented i. Updated with completed first and middle names from name without accent, and updated that row to be replaced with this author_id",,272,"Díaz, Xiomara Cazanas",daz|x,NA,Díaz,Xiomara,Cazanas
1,"This is an accented i and an accented e, no seeming duplicates",,271,"Díaz-Gutiérrez, E.",dazgutirrez|e,NA,Díaz-Gutiérrez,E,NA
,,,1674,"Dae-yong, Kim",NA,NA,Dae-yong,Kim,NA
,"Fixed to be last, first jr",,591,"Daft, Gary Jr",jr|gd,Jr,Daft,Gary,NA
,,,258,"Dahlin, K M",dahlin|k,NA,Dahlin,K,M
,,,259,"Dahm, K.",dahm|k,NA,Dahm,K,NA
,,,260,"Dai, Q.",dai|q,NA,Dai,Q,NA
,Moved 'Lal' to extra,,1728,"Das, Aman Kumar Lal",NA,Lal,Das,Aman,Kumar
,,,262,"Das, S.",das|s,NA,Das,S,NA
,,,1565,"Daspan, Raymond Ishaya",NA,NA,Daspan,Raymond,Ishaya
,,,263,"Dattilo, J.",dattilo|j,NA,Dattilo,J,NA
,,,264,"Davarpanah, A.",davarpanah|a,NA,Davarpanah,A,NA
,,,265,"Davey, S C",davey|s,NA,Davey,S,C
,,,267,"Davies, N S",davies|n,NA,Davies,N,S
,,,268,"Davies, R S",davies|r,NA,Davies,R,S
,,,270,"Day, Warren C.",day|wc,NA,Day,Warren,C
,,,273,"Deacon, B.",deacon|b,NA,Deacon,B,NA
,,,274,"DeAngelo, J.",deangelo|j,NA,DeAngelo,J,NA
,,,1505,"Debret, Baptiste",NA,NA,Debret,Baptiste,NA
,,,276,"Dechesne, M.",dechesne|m,NA,Dechesne,M,NA
,,,277,"Decree, Sophie",decree|s,NA,Decree,Sophie,NA
,,,1661,"Deemer, Eva",NA,NA,Deemer,Eva,NA
,,,1672,"Dehghani, Kamran",NA,NA,Dehghani,Kamran,NA
,,,281,"Deldicque, D.",deldicque|d,NA,Deldicque,D,NA
,,,1417,"Delie, Gilles",NA,NA,Delie,Gilles,NA
,,,282,"Demircan, Huriye",demircan|h,NA,Demircan,Huriye,NA
,,,283,"DeMott, L M",demott|l,NA,DeMott,L,M
,,,286,"Denton, K M",denton|k,NA,Denton,K,M
,,,287,"Deutch, J.",deutch|j,NA,Deutch,J,NA
,,,288,"DeVries, D R",devries|d,NA,DeVries,D,R
,,,289,"DeWitt, J D",dewitt|j,NA,DeWitt,J,D
,,,1398,"Dharmaratne, P. G. R.",NA,NA,Dharmaratne,P,G R
,,,290,"Diallo, M C",diallo|m,NA,Diallo,M,C
,,272,1356,"Diaz, Xiomara Cazanas",NA,NA,Diaz,Xiomara,Cazanas
,,,292,"Dicken, C.",dicken|c,NA,Dicken,C,NA
,,,293,"Dietrich, V E",dietrich|v,NA,Dietrich,V,E
,,,295,"Dilts, T E",dilts|t,NA,Dilts,T,E
,,,296,"Ding, S.",ding|s,NA,Ding,S,NA
,,,1395,"Dissanayake, D. M. D. O. K.",NA,NA,Dissanayake,D,M D O K
,,,1554,"Dodson, Erich Kyle",NA,NA,Dodson,Erich,Kyle
,,,1618,"Doherty, Kyle D.",NA,NA,Doherty,Kyle,D
,,,297,"Dong, D T",dong|d,NA,Dong,D,T
,,,298,"Dong, J.",dong|j,NA,Dong,J,NA
,,,299,"Dong, Y.",dong|y,NA,Dong,Y,NA
,,,300,"Dortch, J M",dortch|j,NA,Dortch,J,M
,,,1594,"Dou, Shiquan",NA,NA,Dou,Shiquan,NA
,,,301,"Doublier, M.",doublier|m,NA,Doublier,M,NA
,,,303,"Downs, C.",downs|c,NA,Downs,C,NA
,,,304,"Dozier, H J",dozier|h,NA,Dozier,H,J
,,,305,"Drenth, Benjamin J.",drenth|bj,NA,Drenth,Benjamin,J
,,,306,"Driscoll, J.",driscoll|j,NA,Driscoll,J,NA
,,,307,"Driscoll, K P",driscoll|k,NA,Driscoll,K,P
,,,1630,"Du, Debin",NA,NA,Du,Debin,NA
,,,1643,"Dufek, Eric J.",NA,NA,Dufek,Eric,J
,,,309,"Dumond, G.",dumond|g,NA,Dumond,G,NA
,,,310,"Duncan, Jonathan M.",duncan|jm,NA,Duncan,Jonathan,M
,,,1697,"Dunham-Cheatham, Sarrah M.",NA,NA,Dunham-Cheatham,Sarrah,M
,,,311,"Dunn, J B",dunn|j,NA,Dunn,J,B
,,,312,"Dusel-Bacon, C.",duselbacon|c,NA,Dusel-Bacon,C,NA
,,,313,"Dushyantha, N P",dushyantha|n,NA,Dushyantha,N,P
,,,314,"Duuring, P.",duuring|p,NA,Duuring,P,NA
,,,315,"Earney, Tait E.",earney|te,NA,Earney,Tait,E
,,,316,"Eastman, K A",eastman|k,NA,Eastman,K,A
,,,317,"Ebel, B A",ebel|b,NA,Ebel,B,A
,,,318,"Eble, Cortland",eble|c,NA,Eble,Cortland,NA
,,,1391,"Edirisinghe, P. M.",NA,NA,Edirisinghe,P,M
,,,320,"Eggert, R.",eggert|r,NA,Eggert,R,NA
,,,1408,"Ehrenberger, Simone",NA,NA,Ehrenberger,Simone,NA
,,,321,"Elaloui, E.",elaloui|e,NA,Elaloui,E,NA
,,,322,"Eleish, A.",eleish|a,NA,Eleish,A,NA
,,,323,"Elicki, Olaf",elicki|o,NA,Elicki,Olaf,NA
