"","pub_id","author_name","author_id"
"1319",292,"Tohamy, Amira M. El","1493"
"1320",295,"Almahawis, M K","29"
"1321",295,"Bailey, R T","70"
"1322",295,"Arnold, J G","52"
"1323",295,"Abbas, S.","1"
"1324",295,"White, Michael J. ","1494"
"1325",295,"White, Michael J. ","1494"
"1326",300,"McCafferty, Anne E.","770"
"1327",300,"Lawley, C J M","674"
"1328",300,"Graham, Garth E.","432"
"1329",300,"San Juan, C. A.","1326"
"1330",300,"Gadd, M G","388"
"1331",300,"Huston, D L","543"
"1332",300,"Kelley, K.","614"
"1333",300,"Paradis, S.","909"
"1334",300,"Peter, J.","930"
"1335",300,"Czarnota, K.","257"
"1336",301,"Babaei, F.","67"
"1337",301,"Boozarjomehry, R B","133"
"1338",301,"Ravandi, Z K","977"
"1339",301,"Pishvaie, S.M.R.","1495"
"1340",303,"Taylor, Ryan","1144"
"1341",303,"Graham, Garth E.","432"
"1342",303,"Lowers, H A","709"
"1343",307,"Gupta, Tushar","1496"
"1344",310,"Albaugh, Timothy J.","18"
"1345",310,"Carter, David R.","189"
"1346",310,"Cook, Rachel L.","231"
"1347",310,"Campoe, Otávio C.","181"
"1348",310,"Rubilar, Rafael A.","1014"
"1349",310,"Creighton, Jerre L.","1497"
"1350",311,"Zhou, S.","1315"
"1351",311,"Li, N.","700"
"1352",311,"Margenot, A J","738"
"1353",315,"Alonso, E.","30"
"1354",315,"Pineault, David George","941"
"1355",315,"Nassar, Nedal T.","1327"
"1356",316,"Kim, H.","629"
"1357",316,"Shin, D.","1065"
"1358",316,"Im, H.","553"
"1359",316,"Yu, B.","1296"
"1360",316,"Choi, S K","209"
"1361",319,"Huang, J.","525"
"1362",319,"Yang, X.","1280"
"1363",321,"Slack, J F","1083"
"1364",321,"Beck, F M","91"
"1365",321,"Bradley, D C","145"
"1366",321,"Felch, M M","354"
"1367",321,"Marvinney, R G","748"
"1368",321,"Whittaker, Amber T. H.","1329"
"1369",332,"Tuladhar, A.","1177"
"1370",332,"Bailey, R T","70"
"1371",332,"Abbas, S.","1"
"1372",332,"Arnold, J G","52"
"1373",332,"White, Michael J. ","1494"
"1374",332,"Shanmugam, Mohana Sundaram","1498"
"1375",340,"Prabhu, A.","952"
"1376",340,"Morrison, S M","827"
"1377",340,"Hazen, R M","479"
"1378",350,"Lundine, M.","714"
"1379",350,"Trembanis, A.","1171"
"1380",351,"Bailey, R T","70"
"1381",351,"Abbas, S.","1"
"1382",351,"Arnold, J G","52"
"1383",351,"White, Michael J. ","1494"
"1384",352,"Pfau, J C","933"
"1385",352,"McLaurin, B.","775"
"1386",352,"Buck, B J","171"
"1387",352,"Miller, F W","796"
"1388",353,"Mouser, J B","835"
"1389",353,"Brewer, S K","154"
"1390",353,"Niemiller, M L","874"
"1391",353,"Mollenhauer, R.","813"
"1392",353,"Bussche, Ronald A. Van Den","1499"
"1393",358,"Thapa, S.","1147"
"1394",358,"Girault, F.","419"
